LEFT;0;0;1208;3;130;59;59;207;4;false;false;false;false;112;-1;-1;-1;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
LEFT;0;0;1207;3;140;60;60;206;4;false;false;false;false;114;-1;130;-1;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
LEFT;0;0;1206;3;140;61;61;206;4;false;false;false;false;116;-1;130;-1;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
LEFT;0;0;1205;3;140;62;62;206;4;false;false;false;false;118;-1;130;-1;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
LEFT;0;0;1204;3;140;63;63;206;4;false;false;false;false;120;-1;130;-1;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
LEFT;0;0;1203;3;150;64;64;205;4;false;false;false;false;122;-1;130;-1;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
LEFT;0;0;1202;3;150;65;65;205;4;false;false;false;false;122;-1;128;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
LEFT;0;0;1201;3;150;66;66;205;4;false;false;false;false;122;-1;126;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
LEFT;0;0;1200;3;150;67;67;205;4;false;false;false;false;122;-1;124;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
LEFT;0;0;1199;3;160;68;68;204;4;false;false;false;false;122;-1;122;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
LEFT;0;0;1198;3;160;69;69;204;4;false;false;false;false;122;-1;120;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
LEFT;0;0;1197;3;160;70;70;204;4;false;false;false;false;122;-1;118;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
LEFT;0;0;1196;3;160;71;71;204;4;false;false;false;false;122;-1;116;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
LEFT;0;0;1195;3;170;72;72;203;4;false;false;false;false;122;-1;114;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
LEFT;0;0;1194;3;170;73;73;203;4;false;false;false;false;122;-1;112;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
UP;0;0;1193;3;170;74;74;203;4;false;false;false;false;122;-1;110;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
UP;0;0;1192;3;170;75;75;203;4;false;false;false;false;122;-1;108;-1;LEFT;RIGHT;LEFT;RIGHT;1293;220;4;false;
UP;0;0;1191;3;180;76;76;202;4;false;false;false;false;122;-1;106;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1185;3;180;77;77;202;4;false;false;false;false;122;-1;104;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1179;3;180;78;78;202;4;false;false;false;false;122;-1;102;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1173;3;180;79;79;202;4;false;false;false;false;122;-1;102;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1167;3;190;80;80;201;4;false;false;false;false;122;118;102;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1161;3;190;81;81;201;4;false;false;false;false;122;118;102;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1155;3;190;82;82;201;4;false;false;false;false;122;118;102;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1149;3;190;83;83;201;4;false;false;false;false;122;118;102;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1143;3;240;84;84;201;3;true;true;true;false;120;116;100;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1137;3;240;85;85;201;3;true;true;true;false;118;114;98;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1131;3;240;86;86;201;3;true;true;true;false;117;113;97;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1125;3;240;87;87;201;3;true;true;true;false;115;111;95;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1095;3;250;88;88;200;3;true;true;true;false;114;110;94;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1089;3;250;89;89;200;3;true;true;true;false;112;108;92;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1083;3;250;90;90;200;3;true;true;true;false;111;107;91;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1077;3;250;91;91;200;3;true;true;true;false;109;105;89;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1071;3;260;92;92;199;3;true;true;true;false;108;104;88;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1065;3;260;93;93;199;3;true;true;true;false;106;102;88;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1059;3;260;94;94;199;3;true;true;true;false;105;101;87;-1;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;1053;3;260;95;95;199;3;true;true;true;false;103;99;87;-1;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1047;3;270;96;96;198;3;true;true;true;false;102;98;86;-1;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1041;3;270;97;97;198;3;true;true;true;false;100;96;86;-1;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1035;3;270;98;98;198;3;true;true;true;false;99;95;85;-1;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1029;3;270;99;99;198;3;true;true;true;false;97;93;85;-1;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;928;3;280;100;100;197;3;true;true;true;false;96;92;84;98;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
RIGHT;0;0;929;3;280;101;101;197;3;true;true;true;false;94;90;84;96;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
RIGHT;0;0;930;3;280;102;102;197;3;true;true;true;false;93;89;83;94;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
RIGHT;0;0;931;3;280;103;103;197;3;true;true;true;false;91;87;83;92;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
RIGHT;0;0;932;3;290;104;104;196;3;true;true;true;false;90;86;82;90;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
RIGHT;0;0;933;3;290;105;105;196;3;true;true;true;false;88;84;82;88;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
RIGHT;0;0;934;3;290;106;106;196;3;true;true;true;false;87;83;81;86;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
RIGHT;0;0;935;3;290;107;107;196;3;true;true;true;false;85;81;81;84;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
RIGHT;0;0;936;3;300;108;108;195;3;true;true;true;false;84;80;80;82;UP;UP;UP;UP;1293;220;4;true;
RIGHT;0;0;937;3;300;109;109;195;3;true;true;true;false;86;80;82;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;938;3;300;110;110;195;3;true;true;true;false;87;81;83;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;939;3;300;111;111;195;3;true;true;true;false;89;81;85;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;940;3;310;112;112;194;3;true;true;true;false;90;82;86;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;941;3;310;113;113;194;3;true;true;true;false;92;82;88;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;942;3;310;114;114;194;3;true;true;true;false;93;83;89;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;943;3;310;115;115;194;3;true;true;true;false;95;83;91;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;944;3;320;116;116;193;3;true;true;true;false;96;84;92;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;945;3;320;117;117;193;3;true;true;true;false;98;84;94;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
LEFT;0;0;946;3;320;118;118;193;3;true;true;true;false;99;85;95;82;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
LEFT;0;0;945;3;320;119;119;193;3;true;true;true;false;99;83;95;80;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
LEFT;0;0;944;3;320;120;120;193;3;true;true;true;false;98;82;94;78;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
LEFT;0;0;943;3;320;121;121;193;3;true;true;true;false;98;80;94;76;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
LEFT;0;0;942;3;320;122;122;193;3;true;true;true;false;97;79;93;74;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
LEFT;0;0;941;3;320;123;123;193;3;true;true;true;false;97;77;93;72;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
LEFT;0;0;940;3;320;124;124;193;3;true;true;true;false;96;76;92;70;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
UP;0;0;939;3;320;125;125;193;3;true;true;true;false;96;76;92;68;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
UP;0;0;938;3;320;126;126;193;3;true;true;true;false;95;75;91;66;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
UP;0;0;937;3;320;127;127;193;3;true;true;true;false;95;75;91;64;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
UP;0;0;936;3;320;128;128;193;3;true;true;true;false;94;74;90;62;UP;UP;UP;UP;1293;220;4;true;
UP;0;0;924;3;320;129;129;193;3;true;true;true;false;94;74;90;60;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;920;3;320;130;130;193;3;true;true;true;false;93;73;89;58;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;916;3;320;131;131;193;3;true;true;true;false;93;73;89;56;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;912;3;330;132;132;192;3;true;true;true;false;92;72;88;54;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;908;3;330;133;133;192;3;true;true;true;false;92;72;88;52;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;904;3;330;134;134;192;3;true;true;true;false;91;71;87;50;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;900;3;330;135;135;192;3;true;true;true;false;91;71;87;48;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;896;3;340;136;136;191;3;true;true;true;false;90;70;86;46;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;892;3;340;137;137;191;3;true;true;true;false;90;70;86;44;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;888;3;340;138;138;191;3;true;true;true;false;89;69;85;42;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;884;3;340;139;139;191;3;true;true;true;false;89;69;85;40;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;810;3;350;140;140;190;3;true;true;true;false;88;68;84;38;UP;UP;UP;UP;1293;220;4;true;
UP;0;0;806;3;350;141;141;190;3;true;true;true;false;86;68;84;36;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;802;3;350;142;142;190;3;true;true;true;false;85;67;83;34;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;798;3;350;143;143;190;3;true;true;true;false;83;67;83;32;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;794;3;360;144;144;189;3;true;true;true;false;82;66;82;30;UP;UP;UP;UP;1293;220;4;false;
UP;0;0;790;3;360;145;145;189;3;true;true;true;false;80;66;82;28;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;786;3;360;146;146;189;3;true;true;true;false;79;65;81;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;790;3;360;147;147;189;3;true;true;true;false;79;67;83;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;794;3;360;148;148;189;3;true;true;true;false;80;68;84;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;798;3;360;149;149;189;3;true;true;true;false;80;70;86;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;802;3;360;150;150;189;3;true;true;true;false;81;71;87;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;806;3;360;151;151;189;3;true;true;true;false;81;73;89;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;810;3;360;152;152;189;3;true;true;true;false;82;74;90;26;UP;UP;UP;UP;1293;220;4;true;
DOWN;0;0;884;3;360;153;153;189;3;true;true;true;false;82;76;91;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;888;3;360;154;154;189;3;true;true;true;false;83;77;92;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;892;3;360;155;155;189;3;true;true;true;false;83;79;92;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;896;3;360;156;156;189;3;true;true;true;false;84;80;93;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;900;3;360;157;157;189;3;true;true;true;false;84;82;93;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;904;3;360;158;158;189;3;true;true;true;false;85;83;94;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;908;3;360;159;159;189;3;true;true;true;false;85;85;94;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;912;3;360;160;160;189;3;true;true;true;false;86;86;95;26;UP;UP;UP;UP;1293;220;4;false;
